gene	G1	G2	G3	G4	N1	N2	N3	N4	N5
FBgn0045500	0	0	0	0	0	0	0	0	0
FBgn0045501	0	0	0	0	0	0	0	0	0
FBgn0051933	0	0	0	0	0	0	0	0	0
FBgn0051664	0	0	0	0	0	0	0	0	0
FBgn0031367	0	0	0	1	0	0	0	0	0
FBgn0262275	0	0	0	0	0	0	0	0	0
FBgn0051665	17	3	135	1	2263	172	1123	1014	1056
FBgn0264882	0	0	0	0	1	0	0	18	1
FBgn0264883	0	34	0	0	23	0	0	72	0
FBgn0051663	2467	155	1986	260	44	61	412	0	392
FBgn0031372	0	0	0	0	0	0	0	0	0
FBgn0264884	49	0	1	1	0	0	0	0	0
FBgn0031373	19	23	13	3	35	7	10	10	28
FBgn0031374	293	2828	649	179	468	112	807	164	743
FBgn0011859	0	0	0	0	0	0	0	0	0
FBgn0040719	0	0	0	0	0	0	0	0	0
FBgn0053673	1	0	0	0	0	0	0	0	0
FBgn0031375	0	0	1	0	13	5	32	142	33
FBgn0051942	0	0	0	0	1	0	0	0	0
FBgn0267972	113	258	119	111	105	16	136	165	651
FBgn0031377	1	1	87	0	376	31	286	222	1
FBgn0031378	64	0	0	0	0	0	0	67	1
FBgn0031379	765	12	780	160	99	21	162	376	927
FBgn0001125	331	2723	0	27	59	89	599	114	1187
FBgn0031381	3213	1200	1960	241	155	0	2	0	0
FBgn0262148	0	0	0	0	0	0	0	0	0
FBgn0043539	0	0	0	0	0	0	0	0	0
FBgn0053543	1	3	299	0	607	101	758	361	626
FBgn0263441	0	0	0	0	0	0	2	44	0
FBgn0040718	15	23	0	2	6	0	1	1	0
FBgn0267276	0	0	0	0	0	0	0	0	0
FBgn0040717	0	0	0	0	1	1	0	1	6
FBgn0051943	0	0	0	0	0	0	0	0	0
FBgn0051944	0	0	0	0	0	0	0	0	0
FBgn0031384	0	2	10	0	68	11	117	25	920
FBgn0051939	0	0	0	0	0	1	8	0	0
FBgn0051940	0	0	2	0	0	0	0	0	0
FBgn0051669	0	0	0	0	0	0	0	0	0
FBgn0011860	0	0	0	0	0	0	0	1	0
FBgn0259192	0	0	1	0	1	0	0	0	2
FBgn0259230	0	0	0	0	0	1	0	0	0
FBgn0003557	31	69	39	0	707	134	936	24	288
FBgn0266836	0	0	0	0	0	0	0	0	0
FBgn0028952	0	0	0	0	0	1	0	5	0
FBgn0026396	0	0	0	0	0	0	0	0	1
FBgn0053516	0	0	285	12	134	46	326	490	424
FBgn0031388	0	0	0	0	18	0	0	3	0
FBgn0266043	0	0	0	0	0	0	0	0	0
FBgn0264864	0	0	0	0	0	0	0	3	0
FBgn0031389	0	0	1	0	1	1	0	119	0
FBgn0004507	2959	6464	9159	845	15659	895	7223	6378	9606
FBgn0031390	292	2	4	48	2512	56	347	493	2192
FBgn0031391	27	616	0	0	107	15	113	11	517
FBgn0027509	45	951	843	36	1	36	324	0	7
FBgn0031392	27	38	32	17	666	74	496	485	1144
FBgn0031393	0	0	0	0	271	0	0	2	70
FBgn0000097	2	108	78	14	36	8	68	56	208
FBgn0265017	0	0	35	0	0	0	0	0	0
FBgn0264875	0	0	1	0	0	0	4	0	0
FBgn0051946	0	0	0	0	0	0	0	0	0
FBgn0266828	0	0	0	0	0	0	0	0	0
FBgn0031395	79	17	0	0	259	1	11	34	129
FBgn0264874	0	0	0	0	34	0	0	0	0
FBgn0085201	0	0	0	0	0	0	0	0	0
FBgn0051668	0	0	0	0	0	0	0	0	0
FBgn0053124	0	0	0	0	0	0	0	0	0
FBgn0031397	11	0	555	78	657	40	356	164	674
FBgn0010288	1523	1876	1390	172	1650	63	716	837	1675
FBgn0085203	0	1	0	0	174	0	0	60	45
FBgn0031398	0	340	159	12	679	0	1	274	1
FBgn0259717	0	0	0	0	0	0	0	0	0
FBgn0040715	0	0	0	0	0	0	0	0	0
FBgn0031399	0	0	0	0	1	24	203	138	69
FBgn0031401	121	21	34	4	672	20	105	3	121
FBgn0031403	0	226	103	23	541	55	176	94	437
FBgn0267378	1197	1738	511	50	657	28	247	91	900
FBgn0264945	0	0	0	0	0	0	0	0	5
FBgn0262126	923	2383	195	0	1319	28	82	624	288
FBgn0264946	0	0	0	0	4	0	0	0	0
FBgn0051679	0	0	0	0	0	0	0	0	0
FBgn0052463	0	0	0	0	0	0	0	0	0
FBgn0051682	0	0	0	0	0	0	0	0	0
